Date,Time,Open,High,Low,Close
6/3/2003,00:00,1.17200,1.17720,1.16520,1.17710
6/4/2003,00:00,1.17670,1.17830,1.16860,1.17400
6/5/2003,00:00,1.17410,1.17510,1.16320,1.16400
6/6/2003,00:00,1.16390,1.18900,1.16310,1.18430
6/9/2003,00:00,1.18440,1.18810,1.16840,1.17010
6/10/2003,00:00,1.17080,1.17910,1.16590,1.17160
6/11/2003,00:00,1.17160,1.17460,1.16660,1.16710
6/12/2003,00:00,1.16700,1.17850,1.16590,1.17560
6/13/2003,00:00,1.17560,1.18100,1.17050,1.17650
6/16/2003,00:00,1.17630,1.18820,1.17360,1.18740
6/17/2003,00:00,1.18760,1.19320,1.18180,1.18220
6/18/2003,00:00,1.18220,1.18690,1.17690,1.17810
6/19/2003,00:00,1.17830,1.18070,1.16630,1.16820
6/20/2003,00:00,1.16840,1.17430,1.15830,1.17230
6/23/2003,00:00,1.17230,1.17380,1.15520,1.16050
6/24/2003,00:00,1.15790,1.16080,1.15090,1.15510
6/25/2003,00:00,1.15500,1.15840,1.14770,1.15160
6/26/2003,00:00,1.15150,1.16250,1.14940,1.15330
6/27/2003,00:00,1.15340,1.15460,1.14140,1.14180
6/30/2003,00:00,1.14190,1.14700,1.13990,1.14250
7/1/2003,00:00,1.14300,1.15370,1.14000,1.15240
7/2/2003,00:00,1.15230,1.16130,1.15070,1.15670
7/3/2003,00:00,1.15680,1.15720,1.15060,1.15320
7/4/2003,00:00,1.15310,1.15430,1.14320,1.14980
7/7/2003,00:00,1.14980,1.15000,1.14460,1.14940
7/8/2003,00:00,1.14800,1.14840,1.13090,1.13160
7/9/2003,00:00,1.13170,1.13560,1.12580,1.13170
7/10/2003,00:00,1.13180,1.13700,1.13050,1.13510
7/11/2003,00:00,1.13510,1.13960,1.13100,1.13830
7/14/2003,00:00,1.13800,1.13810,1.12750,1.12810
7/15/2003,00:00,1.12890,1.13120,1.12420,1.12840
7/16/2003,00:00,1.12820,1.13410,1.11550,1.11790
7/17/2003,00:00,1.11760,1.12360,1.11120,1.12230
7/18/2003,00:00,1.12210,1.12530,1.11550,1.12160
7/21/2003,00:00,1.12160,1.13090,1.11720,1.12720
7/22/2003,00:00,1.12500,1.13600,1.12420,1.13480
7/23/2003,00:00,1.13490,1.13770,1.13070,1.13300
7/24/2003,00:00,1.13300,1.14950,1.13160,1.14850
7/25/2003,00:00,1.14850,1.15140,1.14230,1.14730
7/28/2003,00:00,1.14740,1.15530,1.14440,1.15130
7/29/2003,00:00,1.14970,1.15230,1.14520,1.14890
7/30/2003,00:00,1.14870,1.15430,1.14300,1.14400
7/31/2003,00:00,1.14410,1.14560,1.13360,1.13580
8/1/2003,00:00,1.13570,1.13670,1.12250,1.12330
8/4/2003,00:00,1.12340,1.12850,1.11340,1.12760
8/5/2003,00:00,1.12840,1.13780,1.12610,1.13550
8/6/2003,00:00,1.13560,1.14030,1.13070,1.13890
8/7/2003,00:00,1.13890,1.14300,1.13270,1.13360
8/8/2003,00:00,1.13370,1.14190,1.13190,1.13760
8/11/2003,00:00,1.13760,1.13840,1.12860,1.13070
8/12/2003,00:00,1.13060,1.13830,1.12640,1.13620
